lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea,price
8050,3,1,1,yes,yes,yes,no,yes,1,no,475475
6800,2,1,1,yes,no,no,no,no,0,no,150150
8250,3,1,1,yes,no,no,no,no,2,no,207515
8250,3,1,1,yes,no,yes,no,no,3,no,230615
3500,2,1,1,yes,yes,no,no,no,0,no,134750
2835,2,1,1,yes,no,no,no,no,0,no,165550
4500,3,2,2,no,no,yes,no,yes,0,no,219450
3300,3,3,2,yes,no,yes,no,no,0,no,304150
4320,3,1,2,yes,no,yes,yes,no,2,no,481250
3500,4,2,2,yes,no,no,yes,no,2,no,508200
4992,3,2,2,yes,no,no,no,no,2,no,223300
4600,2,1,1,yes,no,no,no,no,0,no,165550
3720,2,1,1,no,no,no,no,yes,0,no,184800
3680,3,2,2,yes,no,no,no,no,0,no,225225
3000,3,2,2,yes,yes,yes,no,no,0,no,281050
3750,2,1,1,yes,yes,yes,no,no,0,no,244475
5076,3,1,1,no,no,no,no,no,0,no,165550
4500,2,1,1,no,no,no,no,no,0,no,179025
5000,3,1,2,yes,no,no,no,yes,0,no,354200
4260,4,1,2,yes,no,yes,no,yes,0,no,288750
6540,4,2,2,no,no,no,no,yes,0,no,288750
3700,4,1,2,yes,yes,no,no,yes,0,no,327250
3760,3,1,2,yes,no,no,yes,no,2,no,358050
4000,3,2,2,yes,no,yes,no,yes,1,no,363825
4300,3,2,2,yes,no,yes,no,no,1,no,410025
6840,5,1,2,yes,yes,yes,no,yes,1,no,446600
4400,2,1,1,yes,no,no,no,no,1,no,236775
10500,4,2,2,yes,no,no,no,no,1,no,308000
4400,2,1,1,yes,no,no,no,no,0,no,142450
4840,3,1,2,yes,no,no,no,no,1,no,229075
4120,2,1,1,yes,no,yes,no,no,1,no,269500
4260,4,2,2,yes,no,no,yes,no,0,no,365750
5960,3,3,2,yes,yes,yes,no,no,1,no,450450
8800,3,2,2,yes,no,no,no,yes,2,no,471625
4560,3,2,2,yes,yes,yes,no,yes,1,no,475475
4600,3,2,2,yes,yes,no,no,yes,2,no,488950
4840,2,1,2,yes,no,no,no,no,0,no,134750
3850,3,1,2,yes,no,no,no,no,0,no,171325
4900,3,1,2,no,no,no,no,no,0,no,192115
3850,3,1,1,yes,no,no,no,no,2,no,194425
3760,3,1,1,yes,no,no,no,no,2,no,250250
6000,4,2,4,yes,no,no,no,no,1,no,346500
4370,3,1,2,yes,no,no,no,no,0,no,177100
7700,2,1,1,yes,no,no,no,no,0,no,134750
2990,2,1,1,no,no,no,no,no,1,no,102025
3750,3,1,2,yes,no,no,no,no,0,no,165550
3000,3,1,2,yes,no,no,no,no,0,no,215600
2650,3,1,2,yes,no,yes,no,no,1,no,154000
4500,4,2,2,yes,no,yes,no,no,2,no,196350
4500,2,1,1,no,no,no,no,no,0,no,196350
4500,3,1,2,no,no,yes,no,yes,0,no,220412.5
4500,2,1,2,yes,no,no,yes,no,1,no,169400
2175,3,1,2,no,yes,yes,no,yes,0,no,234850
4500,3,2,3,yes,no,no,yes,no,1,no,238700
4800,5,2,3,no,no,yes,yes,no,0,no,308000
4600,4,1,2,yes,no,no,no,no,0,no,192500
3450,3,1,2,yes,no,no,no,no,1,no,230615
3000,3,1,2,no,no,no,no,no,0,no,136675
3600,2,2,2,yes,no,yes,no,no,1,no,142450
3600,3,1,2,no,no,no,no,no,1,no,161700
3750,3,1,1,yes,no,no,no,no,0,no,184800
2610,4,3,2,no,no,no,no,no,0,no,231000
2953,3,1,2,yes,no,yes,no,yes,0,no,231000
2747,4,2,2,no,no,no,no,no,0,no,231000
1905,5,1,2,no,no,yes,no,no,0,no,238700
3968,3,1,2,no,no,no,no,no,0,no,242550
3162,3,1,2,yes,no,no,no,yes,1,no,246015
6000,4,1,2,yes,no,yes,no,no,2,no,500500
2910,3,1,1,no,no,no,no,no,0,no,96250
2135,3,2,2,no,no,no,no,no,0,no,192500
3120,3,1,2,no,no,yes,yes,no,0,no,203665
4075,3,1,1,yes,yes,yes,no,no,2,no,238700
3410,3,1,2,no,no,no,no,yes,0,no,282975
2800,3,1,1,yes,no,no,no,no,0,no,146300
2684,2,1,1,yes,no,no,no,yes,1,no,177100
3100,3,1,2,no,no,yes,no,no,0,no,184800
3630,2,1,1,yes,no,yes,no,no,0,no,202125
1950,3,1,1,no,no,no,yes,no,0,no,123200
2430,3,1,1,no,no,no,no,no,0,no,146300
4320,3,1,1,no,no,no,no,no,1,no,177100
3036,3,1,2,yes,no,yes,no,no,0,no,192500
3630,3,2,2,yes,no,no,yes,no,2,no,221375
5400,4,1,2,yes,no,no,no,no,0,no,269500
3420,4,2,2,yes,no,yes,no,yes,2,no,269115
3180,3,2,2,yes,no,no,no,no,2,no,286825
3660,4,1,2,no,no,no,no,no,0,no,161700
4410,2,1,1,no,no,no,no,no,1,no,231000
3990,3,1,2,yes,no,no,no,no,0,no,192500
4340,3,1,1,yes,no,no,no,no,0,no,223300
3510,3,1,2,yes,no,no,no,no,0,no,246015
3420,5,1,2,no,no,no,no,no,0,no,107800
3420,2,1,2,yes,no,no,yes,no,1,no,207900
5495,3,1,1,yes,no,yes,no,no,0,no,172095
3480,4,1,2,no,no,no,no,no,1,no,180950
7424,3,1,1,no,no,no,no,no,0,no,192500
3460,4,1,2,yes,no,no,no,yes,0,no,220412.5
3630,3,1,2,yes,no,no,no,no,2,no,257950
3630,2,1,1,yes,no,no,no,yes,0,no,202125
3480,3,1,2,no,no,no,no,no,1,no,161700
3460,3,2,1,yes,no,yes,no,yes,1,no,221375
3180,2,1,1,yes,no,no,no,no,0,no,127050
3635,2,1,1,no,no,no,no,no,0,no,132440
3960,3,1,1,yes,no,no,no,no,0,no,154000
4350,3,1,2,no,no,no,yes,no,1,no,155925
3930,2,1,1,no,no,no,no,no,0,no,179025
3570,3,1,2,yes,no,yes,no,no,0,no,200200
3600,3,1,1,yes,no,no,no,no,1,no,204050
2520,5,2,1,no,no,yes,no,yes,1,no,207515
3480,3,1,1,no,no,no,no,yes,0,no,192500
3180,4,2,2,yes,no,no,no,no,0,no,213675
3290,2,1,1,yes,no,no,yes,no,1,no,215600
4000,4,2,2,no,no,no,no,no,0,no,231000
2325,3,1,2,no,no,no,no,no,0,no,231000
4350,2,1,1,yes,no,yes,no,no,0,no,267575
3540,2,1,1,no,yes,yes,no,no,0,no,277200
3960,3,1,1,yes,no,yes,no,no,2,no,356125
2640,2,1,1,no,no,no,no,no,1,no,155925
2700,2,1,1,no,no,no,no,no,0,no,161700
2700,3,1,1,no,no,no,no,no,0,no,184415
3180,3,1,2,no,no,yes,no,no,0,no,200200
3500,4,1,2,yes,no,no,no,no,2,no,238700
3630,2,1,1,yes,no,no,no,no,0,no,157850
6000,4,3,2,yes,yes,yes,yes,no,2,no,532455
3150,3,1,2,no,no,no,no,no,0,no,161700
3792,4,1,2,yes,no,no,no,no,0,no,180950
3510,3,1,3,yes,no,no,no,no,0,no,248325
3120,3,1,2,no,no,no,no,no,0,no,177100
3000,4,1,3,yes,no,yes,no,yes,2,no,223300
4200,3,1,2,yes,no,no,no,no,1,no,269885
2817,4,2,2,no,yes,yes,no,no,1,no,302225
3240,4,1,3,yes,no,no,no,no,1,no,335912.5
2800,3,2,2,no,no,yes,no,yes,1,no,272580
3816,2,1,1,yes,no,yes,no,yes,2,no,215600
3185,2,1,1,yes,no,yes,no,no,2,no,184800
6321,3,1,2,yes,no,yes,no,yes,1,no,261800
3650,3,2,2,yes,no,no,no,no,2,no,304150
4700,4,1,2,yes,yes,yes,no,yes,1,no,308000
6615,4,2,2,yes,yes,no,yes,no,1,no,334950
3850,3,1,2,yes,no,no,no,no,0,no,96250
3970,1,1,1,no,no,no,no,no,0,no,125125
3000,2,1,2,yes,no,no,no,no,0,no,138600
4352,4,1,2,no,no,no,no,no,1,no,163625
3630,4,1,2,yes,no,no,no,no,3,no,165550
3600,6,1,2,yes,no,no,no,no,1,no,192500
3000,2,1,1,yes,no,yes,no,no,2,no,100100
3000,4,1,2,yes,no,no,no,no,0,no,115500
2787,4,2,2,yes,no,no,no,no,0,no,130900
3000,2,1,2,yes,no,no,no,yes,0,no,200200
4770,3,1,1,yes,yes,yes,no,no,0,no,269500
3649,2,1,1,yes,no,no,no,no,0,no,103950
3970,3,1,2,yes,no,yes,no,no,0,no,125125
2910,2,1,1,no,no,no,no,no,0,no,143220
3480,2,1,1,yes,no,no,no,no,1,no,146300
6615,3,1,2,yes,no,no,no,no,0,no,161700
3500,2,1,1,yes,no,no,no,no,0,no,171325
3450,3,1,2,yes,no,yes,no,no,0,no,173250
3450,3,1,1,yes,no,yes,no,no,2,no,186725
3520,2,2,1,yes,no,yes,no,no,0,no,200200
6930,4,1,2,no,no,no,no,no,1,no,207515
4600,3,2,2,yes,no,no,no,yes,1,no,231000
4360,4,1,2,yes,no,no,no,no,0,no,234850
3450,3,1,2,yes,no,yes,no,no,1,no,248325
4410,4,3,2,yes,no,yes,no,no,2,no,273350
4600,2,2,1,yes,no,no,no,yes,2,no,290675
3640,2,1,1,yes,no,no,no,no,0,no,128975
6000,2,1,1,yes,no,no,no,no,0,no,157850
5400,4,1,2,yes,no,no,no,no,0,no,157850
3640,4,1,2,yes,no,yes,no,no,0,no,177870
3640,2,1,1,yes,no,no,no,no,0,no,186725
4040,2,1,1,yes,no,no,no,no,0,no,188265
3640,2,1,1,yes,no,no,no,no,1,no,192500
3640,2,1,1,yes,no,no,no,no,0,no,196350
5640,2,1,1,no,no,no,no,no,0,no,202125
3600,2,1,1,yes,no,no,no,no,0,no,202125
3600,2,1,1,yes,no,no,no,no,0,no,207900
4632,4,1,2,yes,no,no,no,yes,0,no,227150
3640,3,2,2,yes,no,yes,no,no,0,no,231000
4900,2,1,2,yes,no,yes,no,no,0,no,242550
4510,4,1,2,yes,no,no,no,yes,2,no,246400
4100,2,2,1,yes,yes,yes,no,no,0,no,249865
3640,3,1,2,yes,no,no,no,yes,0,no,250250
5680,3,1,2,yes,yes,no,no,yes,1,no,254100
6300,3,1,1,yes,no,no,no,yes,2,no,269500
4000,3,1,2,yes,no,no,no,no,1,no,252175
3960,3,1,2,yes,no,no,no,no,0,no,219450
5960,3,1,2,yes,yes,yes,no,no,0,no,200200
5830,2,1,1,yes,no,no,no,no,2,no,207900
4500,4,2,1,no,no,yes,no,yes,2,no,286825
4100,3,2,3,yes,no,no,no,yes,2,no,346500
6750,2,1,1,yes,no,no,no,no,0,no,173250
9000,3,1,2,yes,no,no,no,no,2,no,173250
2550,3,1,2,yes,no,yes,no,no,0,no,250250
7152,3,1,2,yes,no,no,no,yes,0,no,211750
6450,4,1,2,yes,no,no,no,no,0,no,238700
3360,2,1,1,yes,no,no,no,no,1,no,115500
3264,2,1,1,yes,no,no,no,no,0,no,130900
4000,3,1,1,yes,no,no,no,no,0,no,146300
4000,3,1,2,yes,no,no,no,no,1,no,150150
3069,2,1,1,yes,no,no,no,no,1,no,173250
4040,2,1,1,yes,no,no,no,no,0,no,180950
4040,2,1,1,yes,no,no,no,no,1,no,182875
3185,2,1,1,yes,no,no,no,no,2,no,188650
5900,2,1,1,yes,no,no,no,no,1,no,192500
3120,3,1,2,yes,no,no,no,no,1,no,192500
5450,2,1,1,yes,no,no,no,no,0,no,203665
4040,2,1,1,yes,no,no,no,no,0,no,204050
4080,2,1,1,yes,no,no,no,no,0,no,211750
8080,3,1,1,yes,no,no,no,yes,2,no,215600
4040,2,1,2,yes,no,no,no,no,1,no,225225
4080,3,1,2,yes,no,no,no,no,2,no,229075
5800,3,1,1,yes,no,no,yes,no,2,no,231000
5885,2,1,1,yes,no,no,no,yes,1,no,246400
9667,4,2,2,yes,yes,yes,no,no,1,no,257950
3420,4,2,2,yes,no,no,no,no,0,no,262185
5800,2,1,1,yes,yes,yes,no,yes,0,no,269500
7600,4,1,2,yes,no,no,no,yes,2,no,277200
5400,3,1,1,yes,no,no,no,no,3,no,221375
4995,4,2,1,yes,no,yes,no,no,0,no,269115
3000,3,1,2,yes,no,yes,no,yes,0,no,269500
5500,3,2,1,yes,no,yes,no,no,0,no,288750
6450,3,2,1,yes,yes,yes,yes,no,0,no,296065
6210,4,1,4,yes,yes,no,no,yes,0,no,300300
5000,3,1,4,yes,no,no,no,no,0,no,308000
5000,3,1,3,yes,no,no,no,yes,0,no,315700
5828,4,1,4,yes,yes,no,no,no,0,no,319550
5200,3,1,3,yes,no,no,no,yes,0,no,319550
5500,3,1,3,yes,yes,no,no,yes,1,no,323015
6350,3,2,3,yes,yes,no,no,yes,0,no,340725
8250,3,2,3,yes,no,no,no,yes,0,no,358050
6000,3,1,1,yes,no,no,no,yes,1,no,377300
7700,3,2,1,yes,no,no,no,no,2,no,379225
8880,3,2,2,yes,no,yes,no,yes,1,no,381150
8880,2,1,1,yes,no,no,no,yes,1,no,388850
6480,3,2,4,yes,no,no,no,yes,2,no,423500
7000,3,2,4,yes,no,no,no,yes,2,no,444451.7
8875,3,1,1,yes,no,no,no,no,1,no,462000
7155,3,2,1,yes,yes,yes,no,yes,2,no,477400
8960,4,4,4,yes,no,no,no,yes,3,no,673750
7350,2,1,1,yes,no,no,no,no,1,no,192500
3850,2,1,1,yes,no,no,no,no,0,no,211750
7000,3,1,1,yes,no,no,no,no,3,no,231000
7770,2,1,1,yes,no,no,no,no,1,no,234850
7440,3,2,1,yes,yes,yes,no,yes,0,yes,408100
7500,3,3,1,yes,no,yes,no,yes,2,yes,596750
8100,4,1,2,yes,yes,yes,no,yes,2,yes,542850
3900,3,1,2,yes,no,no,no,no,0,no,240625
2970,3,1,3,yes,no,no,no,no,0,no,269500
3000,3,1,2,yes,no,yes,no,no,0,no,281050
10500,2,1,1,yes,no,no,no,no,1,no,308000
5500,3,2,2,yes,no,no,no,no,1,no,308000
4500,3,1,4,yes,no,no,no,yes,0,no,338800
3850,3,1,1,yes,no,no,no,no,0,no,188650
4130,3,2,2,yes,no,no,no,no,2,no,200200
4046,3,1,2,yes,no,yes,no,no,1,no,229075
4079,3,1,3,yes,no,no,no,no,0,no,231000
4000,3,1,2,yes,no,no,no,no,2,no,246400
9860,3,1,1,yes,no,no,no,no,0,no,248325
7000,3,1,2,yes,no,yes,no,no,0,no,263725
7980,3,1,1,yes,no,no,no,no,2,no,302225
6800,2,1,1,yes,yes,yes,no,no,2,no,331100
4300,6,2,2,yes,no,no,no,no,0,no,334565
10269,3,1,1,yes,no,no,no,no,1,yes,288750
6100,3,1,3,yes,yes,no,no,yes,0,yes,300300
6420,3,2,3,yes,no,no,no,yes,0,yes,365750
12090,4,2,2,yes,no,no,no,no,2,yes,373450
6600,3,1,4,yes,no,no,no,yes,3,yes,411950
6600,4,2,2,yes,yes,yes,no,yes,1,yes,500500
8580,4,3,4,yes,no,no,no,yes,2,yes,558250
9960,3,2,2,yes,no,yes,no,no,2,yes,673750
10700,3,1,2,yes,yes,yes,no,no,0,no,277200
15600,3,1,1,yes,no,no,no,yes,2,no,326865
13200,2,1,1,yes,no,yes,yes,no,1,no,381150
9000,4,2,4,yes,no,no,no,yes,2,no,438900
7950,5,2,2,yes,no,yes,yes,no,2,no,462000
16200,5,3,2,yes,no,no,no,no,0,no,558250
6100,3,2,1,yes,no,yes,no,no,2,yes,304150
6360,3,1,1,yes,yes,yes,no,yes,2,yes,315700
6420,3,1,1,yes,no,yes,no,yes,0,yes,327250
6360,4,2,3,yes,no,no,no,yes,2,yes,386925
6540,4,2,2,yes,yes,yes,no,yes,2,yes,469700
6420,3,2,2,yes,no,no,no,yes,1,yes,487025
6550,4,2,2,yes,no,no,no,yes,1,yes,512050
5750,3,2,4,yes,yes,no,no,yes,1,yes,539000
7420,4,2,3,yes,no,no,no,yes,2,yes,731500
7160,3,1,1,yes,no,yes,no,no,2,yes,323400
4000,3,2,2,yes,no,yes,no,yes,0,yes,373450
9000,4,2,4,yes,yes,no,no,yes,1,yes,398475
6550,3,1,2,yes,no,yes,no,yes,0,yes,433125
13200,3,1,2,yes,no,yes,no,yes,2,yes,539000
7085,3,1,1,yes,yes,yes,no,no,2,yes,287595
6600,4,2,2,yes,yes,yes,no,no,0,yes,300300
6900,3,1,1,yes,yes,yes,no,no,0,yes,303765
11460,3,1,3,yes,no,no,no,no,2,yes,323015
7020,3,1,1,yes,no,yes,no,yes,2,yes,327250
6540,3,1,1,yes,yes,yes,no,no,2,yes,327250
8000,3,1,1,yes,yes,yes,no,yes,2,yes,331100
9620,3,1,1,yes,no,yes,no,no,2,yes,334565
10500,3,2,1,yes,no,yes,no,yes,1,yes,363825
5020,3,1,4,yes,no,no,no,yes,0,yes,369600
7440,3,2,4,yes,no,no,no,no,1,yes,408100
6600,3,1,1,yes,yes,yes,no,no,0,yes,277200
7200,3,1,2,yes,yes,yes,no,no,1,yes,286825
6710,3,2,2,yes,yes,yes,no,no,1,yes,296450
6660,4,2,2,yes,yes,yes,no,no,1,yes,310887.5
7000,3,1,1,yes,no,yes,no,no,2,yes,319165
7231,3,1,2,yes,yes,yes,no,yes,0,yes,327250
7410,3,1,1,yes,yes,yes,no,yes,2,yes,356125
7800,3,1,1,yes,no,yes,no,yes,2,yes,292600
6825,3,1,1,yes,yes,yes,no,yes,0,yes,298375
6360,3,1,3,yes,no,no,no,no,0,yes,308000
6600,4,2,1,yes,no,yes,no,no,0,yes,308000
6900,3,2,1,yes,yes,yes,no,no,0,yes,331100
6600,3,1,1,yes,yes,yes,no,no,2,yes,334950
6420,3,1,3,yes,no,yes,no,no,0,yes,336875
6600,3,2,1,yes,no,yes,no,yes,0,yes,342650
6600,3,2,3,yes,no,no,no,yes,0,yes,346115
9000,3,1,1,yes,no,yes,no,no,1,yes,346500
6500,3,2,3,yes,no,no,no,yes,0,yes,365750
6360,3,2,4,yes,no,no,no,yes,0,yes,431200
5300,3,1,1,no,no,no,no,yes,0,yes,122815
2850,3,2,2,no,no,yes,no,no,0,yes,200200
6400,3,1,1,yes,yes,yes,no,yes,1,yes,346500
11175,3,1,1,yes,no,yes,no,yes,1,yes,385000
6750,2,1,1,yes,yes,yes,no,no,2,yes,353045
7500,4,2,2,yes,no,yes,no,yes,3,yes,671825
6000,3,1,2,yes,no,no,yes,no,1,yes,364595
10240,2,1,1,yes,no,no,no,yes,2,yes,261800
5136,3,1,2,yes,yes,yes,no,yes,0,yes,308000
3400,3,1,2,yes,no,yes,no,no,2,yes,235235
2880,3,1,2,yes,no,no,no,no,0,yes,242165
3840,3,1,2,yes,no,no,no,no,1,yes,252175
2870,2,1,2,yes,yes,yes,no,no,0,yes,254100
5320,2,1,1,yes,no,no,no,no,1,yes,190575
3512,2,1,1,yes,no,no,no,no,1,yes,192500
3480,2,1,1,yes,no,no,no,no,0,yes,205975
3600,3,1,1,yes,no,yes,no,yes,0,yes,225417.5
3520,2,1,2,yes,no,no,no,no,0,yes,248325
5320,3,1,2,yes,yes,yes,no,no,0,yes,250250
6040,3,1,1,yes,no,no,no,no,2,yes,265650
11410,2,1,2,yes,no,no,no,no,0,yes,281050
8400,3,1,2,yes,yes,yes,no,yes,2,yes,288750
5300,4,2,1,yes,no,no,no,yes,0,yes,288750
7800,3,2,2,yes,no,no,no,no,0,yes,508200
3520,3,1,2,yes,no,no,no,no,0,yes,231000
5360,3,1,2,yes,no,no,no,no,2,yes,250250
6862,3,1,2,yes,no,no,no,yes,2,yes,265650
3520,3,1,1,yes,no,no,no,no,2,yes,199815
4050,2,1,2,yes,yes,yes,no,no,0,yes,219450
3520,3,1,1,yes,no,no,no,no,0,yes,250250
4400,4,1,2,yes,no,no,no,yes,2,yes,306075
5720,2,1,2,yes,no,no,no,yes,0,yes,279125
11440,4,1,2,yes,no,yes,no,no,1,yes,403865
7482,3,2,3,yes,no,no,yes,no,1,yes,442365
5500,4,2,2,yes,no,yes,no,yes,1,yes,462000
4320,3,1,2,yes,no,no,no,no,2,yes,223300
5400,2,1,2,yes,no,no,no,no,0,yes,257950
4320,3,1,1,yes,no,no,no,no,0,yes,257950
4815,2,1,1,yes,no,no,no,yes,0,yes,265650
6100,3,1,1,yes,no,yes,no,yes,0,yes,281050
7980,3,1,1,yes,no,no,no,no,1,yes,282975
6050,3,1,1,yes,no,yes,no,no,0,yes,288365
3800,3,1,2,yes,yes,yes,no,no,1,yes,288750
5400,5,1,2,yes,yes,yes,no,yes,0,yes,306075
6000,3,2,4,yes,yes,yes,no,yes,0,yes,465465
2398,3,1,1,yes,no,no,no,no,0,yes,171536.75
2145,3,1,2,yes,no,yes,no,no,0,yes,180950
2145,3,1,2,yes,no,yes,no,no,0,yes,183260
2145,3,1,3,yes,no,no,no,no,0,yes,188650
2610,3,1,2,yes,no,yes,no,no,0,yes,188650
1950,3,2,2,yes,no,yes,no,no,0,yes,188650
2145,3,1,3,yes,no,no,no,no,0,yes,190575
2275,3,1,3,yes,no,no,yes,yes,0,yes,200200
2856,3,1,3,yes,no,no,no,no,0,yes,207900
2015,3,1,2,yes,no,yes,no,no,0,yes,211750
2176,2,1,2,yes,yes,no,no,no,0,yes,211750
2145,4,2,1,yes,no,yes,no,no,0,yes,215600
2145,3,1,3,yes,no,no,no,no,1,yes,231000
2787,3,1,1,yes,no,yes,no,no,0,yes,232925
9500,3,1,2,yes,no,no,no,no,3,yes,192500
4990,4,2,2,yes,yes,yes,no,no,0,yes,249865
6670,3,1,3,yes,no,yes,no,no,0,yes,358050
6254,4,2,1,yes,no,yes,no,no,1,yes,327250
10360,2,1,1,yes,no,no,no,no,1,yes,236775
5500,3,2,1,yes,yes,yes,no,no,2,yes,340725
5450,4,2,1,yes,no,yes,no,yes,0,yes,338800
5500,3,1,3,yes,no,no,no,no,1,yes,342650
6000,4,1,3,yes,yes,yes,no,no,0,yes,344575
5700,3,1,1,yes,yes,yes,no,yes,2,yes,365750
6600,2,2,4,yes,no,yes,no,no,0,yes,367675
4000,2,1,1,yes,no,no,no,no,0,yes,198275
4880,3,1,1,yes,no,no,no,no,2,yes,242165
4880,4,2,2,yes,no,no,no,yes,1,yes,456225
8050,2,1,1,yes,no,no,no,no,0,no,165165
8100,2,1,1,yes,no,no,no,no,1,no,169785
5880,3,1,1,yes,no,no,no,no,1,no,180950
5880,2,1,1,yes,no,no,no,no,0,no,192500
12944,3,1,1,yes,no,no,no,no,0,no,192500
6020,3,1,1,yes,no,no,no,no,0,no,204050
4050,2,1,1,yes,no,no,no,no,0,no,204050
8400,2,1,1,yes,no,no,no,no,1,no,207900
5600,2,1,1,yes,no,no,no,yes,0,no,225225
5985,3,1,1,yes,no,yes,no,no,0,no,227150
